"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Jan-2017","    10403.00","    10434.10","    10353.65","    10367.05","        5366213","          418.84"
"03-Jan-2017","    10386.60","    10390.90","    10291.25","    10362.25","        8413396","          745.85"
"04-Jan-2017","    10368.15","    10517.55","    10364.00","    10496.90","       11978446","         1004.99"
"05-Jan-2017","    10539.75","    10590.05","    10379.30","    10400.05","       23534557","         1569.58"
"06-Jan-2017","    10352.80","    10372.90","    10063.35","    10110.40","       26296599","         1935.41"
"09-Jan-2017","    10070.65","    10214.20","    10023.65","    10198.45","       17060520","         1250.98"
"10-Jan-2017","    10232.55","    10255.85","    10184.35","    10221.50","       13114211","         1116.94"
"11-Jan-2017","    10238.05","    10282.20","    10154.50","    10220.55","       14041555","         1186.47"
"12-Jan-2017","    10237.45","    10410.80","    10236.00","    10398.80","       14364865","         1296.40"
"13-Jan-2017","    10504.05","    10551.40","    10217.45","    10263.50","       29658962","         3228.05"
"16-Jan-2017","    10223.05","    10223.05","    10137.00","    10173.10","       13731359","         1292.47"
"17-Jan-2017","    10166.85","    10275.00","    10166.40","    10206.80","       10831603","         1007.72"
"18-Jan-2017","    10217.50","    10270.50","    10208.85","    10231.55","       12811228","         1282.05"
"19-Jan-2017","    10223.05","    10251.80","    10174.50","    10222.15","       15253658","         1189.20"
"20-Jan-2017","    10165.50","    10192.70","    10113.20","    10132.65","       12105046","         1039.52"
"23-Jan-2017","    10060.65","    10234.65","    10029.30","    10219.40","       12308496","         1068.79"
"24-Jan-2017","    10186.50","    10213.70","    10133.15","    10201.60","       12814924","         1113.90"
"25-Jan-2017","    10221.65","    10239.50","    10154.75","    10164.45","       18092547","         1642.78"
"27-Jan-2017","    10144.20","    10212.55","    10100.85","    10181.85","       15175889","         1298.21"
"30-Jan-2017","    10114.35","    10195.70","    10065.05","    10170.65","       17444549","         1356.54"
"31-Jan-2017","    10158.20","    10158.20","     9620.45","     9848.50","       33852264","         2704.90"
"01-Feb-2017","     9811.10","     9831.05","     9592.25","     9750.00","       21595107","         1948.50"
"02-Feb-2017","     9753.55","     9989.20","     9681.75","     9926.00","       18596022","         1792.96"
"03-Feb-2017","     9927.35","    10058.80","     9863.65","    10025.80","       12561634","         1048.45"
"06-Feb-2017","    10076.55","    10093.15","     9954.55","    10029.05","       14415906","         1081.13"
"07-Feb-2017","    10034.95","    10042.15","     9967.85","     9997.95","       13536718","         1056.51"
"08-Feb-2017","     9988.60","    10071.65","     9973.60","    10007.05","       11234369","          998.59"
"09-Feb-2017","    10026.40","    10186.10","    10005.00","    10167.90","       21611792","         1757.75"
"10-Feb-2017","    10185.45","    10432.95","    10180.45","    10387.85","       24076474","         2052.49"
"13-Feb-2017","    10402.15","    10469.20","    10340.40","    10452.90","       14919620","         1456.44"
"14-Feb-2017","    10462.35","    10489.45","    10423.75","    10474.10","       12233014","         1073.55"
"15-Feb-2017","    10464.05","    10550.50","    10318.95","    10427.65","       14827403","         1122.44"
"16-Feb-2017","    10488.95","    10640.50","    10488.95","    10628.05","       16900137","         1657.59"
"17-Feb-2017","    10674.20","    10676.00","    10483.90","    10527.20","       12491816","         1029.89"
"20-Feb-2017","    10544.45","    10740.30","    10516.95","    10671.20","       12841691","         1181.90"
"21-Feb-2017","    10716.70","    10801.60","    10643.90","    10680.75","       20702866","         1856.67"
"22-Feb-2017","    10685.55","    10692.95","    10497.00","    10514.80","       17892218","         1596.77"
"23-Feb-2017","    10545.45","    10737.35","    10531.70","    10689.65","       25911240","         2152.71"
"27-Feb-2017","    10663.25","    10776.65","    10658.30","    10706.70","       13604527","         1095.91"
"28-Feb-2017","    10732.80","    10759.40","    10645.30","    10680.95","       41463487","         2523.37"
"01-Mar-2017","    10674.85","    10777.60","    10658.40","    10748.05","        9862993","          777.17"
"02-Mar-2017","    10779.65","    10806.95","    10717.00","    10741.60","        9013275","          734.81"
"03-Mar-2017","    10701.35","    10819.30","    10657.70","    10806.20","       10530658","          830.28"
"06-Mar-2017","    10736.80","    10812.65","    10706.75","    10779.05","        9142773","          803.97"
"07-Mar-2017","    10794.30","    10820.10","    10750.90","    10799.10","       16016534","         1148.39"
"08-Mar-2017","    10791.45","    10793.50","    10687.45","    10739.45","       13675595","         1117.78"
"09-Mar-2017","    10753.70","    10757.70","    10694.45","    10724.75","       10378206","          821.53"
"10-Mar-2017","    10758.20","    10821.85","    10718.35","    10749.85","       11694965","          869.94"
"14-Mar-2017","    10850.00","    10927.30","    10821.40","    10879.25","       15194367","         1386.47"
